@relation argouml-0.9.5

@attribute Lines numeric
@attribute Statements numeric
@attribute '\% Branches' numeric
@attribute Calls numeric
@attribute Calls/Statements numeric
@attribute '\% Comments' numeric
@attribute Methods/Class numeric
@attribute 'Avg Stmts/Method' numeric
@attribute 'Max Complexity' numeric
@attribute 'Max Depth' numeric
@attribute 'Avg Depth' numeric
@attribute 'Avg Complexity' numeric
@attribute WMC numeric
@attribute NOF numeric
@attribute DIT numeric
@attribute NMO numeric
@attribute NOC numeric
@attribute Abstract numeric
@attribute isImportant numeric

@data
459,317,17,271,0.85489,18.5,29,9.07,11,5,2.11,2.83,76,4,0,0,0,0,0
53,47,14.9,18,0.382979,5.7,6,4.17,9,3,1.53,3.17,12,10,0,0,0,0,0
38,28,3.6,6,0.214286,10.5,4,3,4,2,1.18,1.75,5,5,0,0,0,0,0
29,9,0,3,0.333333,65.5,0,0,0,1,0.33,0,0,0,0,0,1,1,0
226,145,24.8,76,0.524138,13.3,12,9.75,9,5,2.52,4.25,41,1,1,3,0,0,0
74,50,4,16,0.32,27,11,2.09,3,3,1.32,1.18,13,3,1,6,0,0,0
203,89,14.6,74,0.831461,47.8,13,4.62,5,4,1.87,2,22,2,0,0,0,0,0
152,63,20.6,41,0.650794,39.5,5,8.4,7,5,2.19,3.6,16,4,0,0,0,0,0
24,8,0,0,0,58.3,2,1,1,2,0.88,1,2,1,1,0,0,0,0
63,24,33.3,5,0.208333,31.7,3,5.33,6,4,2.08,4,7,1,1,2,0,0,0
12,4,0,1,0.25,33.3,1,1,1,2,0.75,1,1,0,1,0,0,0,0
52,17,17.6,5,0.294118,51.9,2,4,4,3,1.41,2.5,4,1,0,0,3,1,0
134,48,4.2,43,0.895833,20.9,2,15.5,2,3,1.83,2,4,3,0,0,0,0,0
1832,1612,39.1,965,0.598635,1.7,68,22.37,111,9,3.52,5.59,537,18,1,0,0,0,0
3483,2206,60.4,802,0.363554,5.3,88,24.27,10,9,3.69,2.08,1027,64,1,0,0,0,0
150,149,0,0,0,0,0,0,0,1,0.98,0,0,146,0,0,0,0,0
1022,433,23.8,321,0.741339,35.7,32,12,25,9,3.05,4.47,113,8,0,0,0,0,0
118,52,26.9,20,0.384615,28,3,13.67,8,5,3.02,5.67,13,4,1,0,0,0,0
128,56,32.1,34,0.607143,25,3,15.67,21,5,3.04,10.33,17,2,1,0,0,0,0
207,70,12.9,36,0.514286,45.9,16,2.69,4,4,1.79,1.69,25,6,0,0,0,0,0
20,16,12.5,8,0.5,10,1,10,3,3,1.44,3,2,0,0,0,0,0,0
24,21,4.8,8,0.380952,8.3,4,2.75,2,2,1.24,1.25,5,0,2,2,0,0,0
111,85,12.9,41,0.482353,12.6,18,2.89,9,4,1.76,2.06,29,5,1,0,22,0,0
24,21,4.8,9,0.428571,8.3,4,3,2,2,1.33,1.25,5,0,2,2,0,0,0
11,9,0,0,0,0,2,0,0,1,0.22,0,0,0,1,0,0,0,0
93,93,43,17,0.182796,10.8,9,7.56,26,5,2.55,4.33,35,2,1,0,0,0,0
62,46,6.5,21,0.456522,19.4,3,9.67,6,4,1.87,2.67,6,1,3,1,0,0,0
33,23,4.3,8,0.347826,27.3,3,4,2,2,1.22,1.33,4,1,3,2,0,0,0
19,18,5.6,5,0.277778,0,3,3.33,2,2,1.28,1.33,4,0,3,2,0,0,0
57,50,6,26,0.52,10.5,3,11.33,4,3,1.48,2,6,1,3,2,0,0,0
99,71,9.9,41,0.577465,30.3,3,18.33,10,4,2.2,4,10,1,3,2,0,0,0
33,23,4.3,8,0.347826,27.3,3,4,2,2,1.22,1.33,4,1,3,2,0,0,0
31,21,4.8,10,0.47619,19.4,2,5.5,2,3,1.52,1.5,3,1,3,0,0,0,0
48,36,8.3,19,0.527778,14.6,3,5.33,4,3,1.47,2,5,8,2,2,0,0,0
33,25,8,11,0.44,21.2,2,6.5,3,3,1.32,2,4,1,3,0,0,0,0
36,28,3.6,17,0.607143,16.7,2,8,2,3,1.64,1.5,3,1,3,0,0,0,0
54,40,17.5,26,0.65,13,3,7.33,8,4,1.88,3.33,9,8,2,2,0,0,0
31,18,5.6,9,0.5,29,3,3.33,2,3,1.44,1.33,4,1,3,1,0,0,0
12,7,0,2,0.285714,50,2,1,1,2,1,1,2,1,2,1,0,0,0
30,20,5,9,0.45,20,3,3.67,2,3,1.45,1.33,4,1,3,1,0,0,0
33,25,8,11,0.44,21.2,2,6.5,3,3,1.48,2,4,1,3,0,0,0,0
20,12,0,5,0.416667,30,3,1.33,1,2,1,1,3,1,3,2,0,0,0
43,30,20,13,0.433333,14,2,9.5,8,5,2.1,4.5,8,1,2,1,0,0,0
44,33,12.1,15,0.454545,13.6,3,7,7,3,1.58,3,6,2,2,1,0,0,0
59,46,17.4,25,0.543478,10.2,3,11,8,4,2.09,5,5,2,2,1,0,0,0
69,44,13.6,25,0.568182,26.1,2,15.5,7,7,2.93,4,8,2,2,0,0,0,0
49,28,3.6,17,0.607143,36.7,3,4.33,2,3,1.11,1.33,4,1,2,2,0,0,0
