Lines,Statements,% Branches,Calls,Calls/Statements,% Comments,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,WMC,NOF,DIT,NMO,NOC,Abstract,isImportant
114,42,28.6,17,0.404761905,47.4,7,4.14,14,6,2.6,3.57,16,3,2,1,0,0,0
259,137,25.5,74,0.540145985,22.8,9,11.22,25,7,2.8,5.56,42,7,2,1,1,0,0
68,27,11.1,10,0.37037037,41.2,5,2.6,5,3,1.37,1.8,8,3,2,1,0,0,0
861,481,24.3,213,0.442827443,29.5,9.2,7.93,39,9,3.51,3.46,97,32,3,1,0,0,0
298,168,14.9,82,0.488095238,26.2,7,5.81,18,5,2.26,2.24,33,12,2,1,0,0,0
340,167,19.8,65,0.389221557,34.4,5,13.3,36,7,3.18,4.9,38,7,2,0,0,0,0
69,42,21.4,16,0.380952381,21.7,2,16,10,6,3.19,5.5,11,1,3,1,0,0,0
41,19,15.8,7,0.368421053,41.5,1,12,4,5,1.95,4,4,0,3,0,0,0,0
126,54,18.5,39,0.722222222,39.7,4,9,12,4,1.81,4,13,3,2,0,0,0,0
101,39,12.8,16,0.41025641,46.5,7,2.86,10,3,1.49,2.29,11,4,2,1,0,0,0
590,280,21.8,141,0.503571429,33.6,12,9.04,19,6,2.5,3.92,72,14,4,7,2,0,0
706,284,20.1,162,0.570422535,43.5,47,4.43,32,5,2.15,2.4,93,12,2,6,2,0,0
855,289,13.5,107,0.370242215,51.1,38,2.24,7,5,1.8,1.66,109,28,3,1,0,0,0
1920,814,21.3,552,0.678132678,39.3,9.92,4.61,95,9,2.93,2.53,206,33,2,0,0,0,0
376,138,15.9,53,0.384057971,50.8,24,3.71,11,7,2.23,2.08,44,11,2,0,1,1,0
103,57,14,28,0.49122807,28.2,2,21.5,10,7,2.91,5.5,9,3,0,0,0,0,0
137,61,16.4,22,0.360655738,39.4,12,2.75,7,5,1.7,1.83,22,7,0,0,0,0,0
159,91,16.5,51,0.56043956,27,7,9.71,11,5,2.44,3.43,20,4,2,0,0,0,0
162,78,19.2,29,0.371794872,38.9,6,8.83,16,5,2.28,3.5,18,5,2,0,0,0,0
140,76,19.7,34,0.447368421,32.9,4,13.25,16,5,2.29,4.75,17,3,2,0,0,0,0
129,56,14.3,13,0.232142857,42.6,9,3.67,9,4,1.86,2.44,16,7,1,0,2,0,0
36,14,7.1,9,0.642857143,47.2,2,3.5,2,3,1.36,1.5,3,0,1,0,1,0,0
655,274,23,118,0.430656934,37.6,8,3.88,20,5,2.42,2.44,46,6,3,1,0,0,0
310,200,30.5,129,0.645,15.5,5,15.8,24,7,2.94,6,48,10,2,0,0,0,0
913,382,23.3,227,0.594240838,39.4,16,6.19,12,7,2.94,3.15,50,13,0,0,0,0,0
16,4,0,1,0.25,62.5,1,1,1,2,0.75,1,1,0,1,0,0,0,0
178,81,18.5,33,0.407407407,38.8,4,6.88,17,6,2.28,3,21,4,2,0,0,0,0
384,127,4.7,60,0.472440945,53.6,41,1.34,7,5,1.31,1.22,46,1,2,1,26,1,0
68,28,21.4,15,0.535714286,39.7,3,6,5,4,2.07,3,9,2,2,1,0,0,0
306,134,32.1,95,0.708955224,29.4,7,16.86,23,7,3.35,8.14,46,0,3,1,0,0,0
357,178,19.1,101,0.56741573,31.4,24,4.92,11,5,1.93,2.54,52,14,2,2,0,0,0
253,149,14.8,113,0.758389262,24.1,13,8.31,14,5,2.53,3,35,8,3,0,0,0,0
148,70,14.3,44,0.628571429,37.2,11,3.91,11,4,1.79,2.27,21,6,3,1,3,0,0
17,7,0,4,0.571428571,47.1,1,3,1,2,1,1,1,0,4,0,0,0,0
16,7,0,3,0.428571429,43.8,1,3,1,2,1.14,1,1,1,4,0,0,0,0
15,5,0,2,0.4,53.3,1,2,1,2,1,1,1,0,4,0,0,0,0
259,112,9.8,72,0.642857143,47.5,20,3.4,6,4,1.79,1.55,31,12,3,1,0,0,0
108,44,9.1,23,0.522727273,48.1,9,2.67,4,3,1.57,1.44,13,6,3,1,0,0,0
96,40,5,13,0.325,49,6,2.83,3,3,1.38,1.5,8,8,2,0,3,1,0
292,83,15.7,47,0.56626506,61.6,16,3,9,4,1.73,1.88,27,13,3,1,0,0,0
452,131,16,81,0.618320611,61.3,25,3.24,14,4,1.82,2,42,19,3,1,0,0,0
327,94,17,50,0.531914894,61.2,19,3.05,7,3,1.77,1.95,30,11,3,1,0,0,0
368,110,19.1,63,0.572727273,59.2,21,3.29,10,4,1.85,2.05,39,13,3,1,0,0,0
310,88,14.8,46,0.522727273,62.3,18,2.78,9,4,1.72,1.78,28,14,3,1,0,0,0
201,59,16.9,38,0.644067797,60.7,10,3.6,6,4,1.78,2.1,18,7,3,1,0,0,0
375,105,16.2,60,0.571428571,61.9,21,2.9,13,4,1.77,1.9,36,17,3,1,0,0,0
345,100,17,58,0.58,60.3,20,3.05,9,4,1.82,1.9,35,13,3,1,0,0,0
381,108,14.8,52,0.481481481,61.7,23,2.7,11,4,1.73,1.74,36,17,3,1,0,0,0
325,94,13.8,48,0.510638298,61.2,19,2.95,7,4,1.74,1.74,30,13,3,1,0,0,0
108,34,14.7,24,0.705882353,59.3,4,5.25,5,3,1.62,2.5,8,3,3,1,0,0,0
220,64,17.2,38,0.59375,60.5,12,3.42,5,3,1.77,2.08,20,5,3,1,0,0,0
285,83,16.9,44,0.530120482,61.8,15,3.27,10,5,1.9,2,24,13,3,1,0,0,0
205,72,2.8,24,0.333333333,57.6,11,2.82,3,3,1.4,1.27,13,20,2,0,13,1,0
122,73,20.5,52,0.712328767,22.1,3,19.33,18,7,3.38,6.67,18,0,1,1,0,0,0
82,37,10.8,22,0.594594595,46.3,3,7.33,5,5,1.62,2.67,7,3,0,0,0,0,0
14,3,0,0,0,71.4,1,0,0,1,0.33,0,0,0,0,0,0,0,0
31,6,0,3,0.5,71,2,1,1,2,1,1,2,0,0,0,0,0,0
65,18,0,5,0.277777778,63.1,5,1.4,1,2,1.17,1,5,2,1,2,0,0,0
40,9,0,1,0.111111111,67.5,3,1,1,2,1.11,1,3,1,1,0,5,1,0
277,104,24,58,0.557692308,43,14,5.79,7,5,2.35,3.79,39,2,0,0,0,0,0
165,72,34.7,15,0.208333333,50.3,6,7.83,13,4,2.42,3,17,14,0,0,7,1,0
36,10,0,4,0.4,61.1,3,1,1,2,0.9,1,3,0,2,1,0,0,0
95,36,5.6,12,0.333333333,48.4,7,2.86,3,3,1.5,1.29,8,5,1,2,0,0,0
33,10,0,4,0.4,57.6,3,1,1,2,0.9,1,3,0,2,1,0,0,0
33,10,0,4,0.4,57.6,3,1,1,2,0.9,1,3,0,2,1,0,0,0
102,36,5.6,12,0.333333333,51,7,2.86,3,3,1.5,1.29,8,5,1,2,0,0,0
33,10,0,4,0.4,57.6,3,1,1,2,0.9,1,3,0,2,1,0,0,0
98,36,5.6,12,0.333333333,50,7,2.86,3,3,1.5,1.29,8,5,1,2,0,0,0
83,28,7.1,9,0.321428571,55.4,6,2.33,3,3,1.43,1.33,7,4,1,2,0,0,0
49,15,0,8,0.533333333,57.1,4,1.5,1,2,1.13,1,4,1,2,2,0,0,0
43,13,0,2,0.153846154,58.1,4,1,1,2,1,1,4,1,1,1,0,0,0
706,354,24,224,0.632768362,28.3,11,13.36,26,9,3.08,5.32,102,13,3,0,0,0,0
131,51,25.5,24,0.470588235,48.9,3,12.33,10,7,2.86,5.67,12,3,0,0,0,0,0
56,30,16.7,13,0.433333333,33.9,2,10.5,8,5,2.37,4.5,6,1,0,0,0,0,0
309,84,8.3,17,0.202380952,62.8,23,2.17,4,4,1.65,1.35,32,7,5,6,0,0,0
142,59,13.6,30,0.508474576,43,9,4.11,4,4,1.69,2,16,3,3,0,2,0,0
798,269,13,103,0.382899628,53.1,30,2.87,7,5,1.81,1.73,87,21,4,1,3,1,0
71,29,13.8,6,0.206896552,43.7,6,2.5,5,3,1.48,2,10,3,0,0,0,0,0
108,49,10.2,26,0.530612245,38,10,3.1,6,4,1.78,1.8,18,4,0,0,0,0,0
402,125,9.6,36,0.288,57,15.5,2.32,5,3,1.62,1.55,41,13,4,1,0,0,0
395,133,15.8,48,0.360902256,52.7,7.67,3.52,14,4,1.86,2.13,38,16,2,0,0,0,0
169,65,16.9,29,0.446153846,45,9,4.78,7,3,1.77,2.33,19,6,2,1,0,0,0
100,29,10.3,7,0.24137931,57,9,1.56,3,3,1.48,1.33,12,3,5,5,0,0,0
313,131,16,56,0.427480916,45,17,5,8,5,2.06,2.47,34,11,0,0,0,0,0
302,90,12.2,20,0.222222222,59.3,26,2.12,4,3,1.7,1.54,35,6,5,7,0,0,0
192,64,18.8,25,0.390625,51.6,10,4.1,10,4,1.84,2.6,21,8,2,1,0,0,0
368,184,21.7,96,0.52173913,36.7,6,11.25,36,6,2.63,4.75,43,9,2,0,0,0,0
444,224,12.1,164,0.732142857,34,25,6.52,6,5,2.17,2.25,51,18,1,2,0,0,0
228,130,13.8,104,0.8,28.1,13,7.62,10,4,2.28,2.62,29,8,2,1,0,0,0
103,39,10.3,26,0.666666667,49.5,4,5.75,7,3,1.46,2.5,8,3,3,1,0,0,0
108,46,15.2,23,0.5,41.7,4,8.25,8,5,2.33,3.25,10,3,0,0,0,0,0
289,149,20.8,62,0.416107383,30.8,11,8.36,15,4,1.96,5.82,43,32,1,0,0,0,0
150,57,8.8,33,0.578947368,47.3,8,4.25,9,3,1.53,2,13,6,3,1,0,0,0
210,106,15.1,65,0.613207547,32.9,6,13.83,15,4,2.26,4.5,21,6,0,0,0,0,0
28,9,0,0,0,60.7,4,0,0,1,0.44,0,0,0,0,0,0,0,0
534,170,8.2,78,0.458823529,56.6,5.8,3.38,7,5,1.82,1.55,41,5,3,0,0,0,0
779,346,20.8,198,0.572254335,37.2,33,8.15,17,7,2.58,3.33,96,18,0,0,6,0,0
20,14,14.3,6,0.428571429,0,2,3.5,3,3,1.36,2.5,4,1,0,0,0,0,0
328,101,13.9,61,0.603960396,54.6,12,6,7,5,2.03,2.42,25,8,1,5,0,0,0
1278,568,17.4,286,0.503521127,42.3,11.5,6.29,15,6,2.64,2.57,54,15,0,0,0,0,0
275,101,17.8,56,0.554455446,48.4,13,5.38,12,3,1.92,2.69,29,7,2,1,0,0,0
84,38,21.1,23,0.605263158,35.7,5,4.6,6,3,1.71,2.8,10,4,1,3,0,0,0
661,286,18.5,167,0.583916084,41.5,27,7.96,22,5,2.11,3.22,73,32,1,5,0,0,0
710,337,19.9,220,0.652818991,33.4,31,8.03,38,9,3.04,3.53,84,34,1,3,1,0,0
71,31,16.1,11,0.35483871,33.8,5,3.4,3,3,1.52,2,8,3,2,3,0,0,0
703,322,21.4,216,0.670807453,35,16.5,7.36,37,9,3.03,3.44,88,27,1,3,0,0,0
343,136,15.4,58,0.426470588,45.2,20,4.6,7,4,1.79,2.1,40,17,2,1,0,0,0
136,45,11.1,14,0.311111111,55.1,8,3,6,3,1.49,1.75,12,6,2,1,0,0,0
39,7,0,0,0,74.4,2,1,1,2,1,1,2,1,0,0,0,0,0
39,7,0,0,0,74.4,2,1,1,2,1,1,2,1,0,0,0,0,0
167,64,23.4,27,0.421875,47.3,10,5,6,5,2.34,3.1,31,1,0,0,0,0,0
607,216,17.6,122,0.564814815,45.1,22,7.5,11,4,2.11,2.86,59,21,0,0,0,0,0
189,66,10.6,22,0.333333333,47.1,11,3.91,10,3,1.82,2.18,17,7,2,1,0,0,0
26,6,0,0,0,69.2,1,0,0,1,0.17,0,0,0,0,0,0,0,0
99,35,8.6,20,0.571428571,50.5,6,3,5,3,1.43,1.67,8,2,2,1,0,0,0
181,70,17.1,50,0.714285714,30.4,7,7.29,5,4,2.16,3,19,0,0,0,0,0,0
61,20,10,2,0.1,55.7,5,2,3,3,1.55,1.4,7,2,0,0,0,0,0
126,55,21.8,25,0.454545455,39.7,6,6.17,8,6,2.22,3.5,17,4,2,1,0,0,0
94,40,17.5,20,0.5,44.7,4,6.25,7,5,2.03,3.5,10,2,2,1,0,0,0
267,99,13.1,53,0.535353535,46.4,12,5.67,4,5,1.92,2.17,24,7,2,0,0,0,0
243,98,17.3,49,0.5,40.7,12,5.83,7,5,2.29,2.42,26,5,2,0,0,0,0
95,18,0,0,0,72.6,6,1,1,2,1.17,1,6,3,4,0,0,0,0
123,59,22,29,0.491525424,32.5,5,9.6,13,4,2.31,4.2,18,0,0,0,0,0,0
63,41,9.8,13,0.317073171,11.1,6,3.83,3,3,1.54,1.67,10,3,0,0,0,0,0
32,17,5.9,2,0.117647059,21.9,3,2,2,3,1.06,1.33,4,1,0,0,0,0,0
75,52,15.4,14,0.269230769,9.3,7,4.71,7,5,1.9,2.57,13,3,0,0,0,0,0
529,185,18.9,122,0.659459459,43.7,19,7.32,11,6,2.17,3,51,18,0,0,0,0,0
542,230,21.3,131,0.569565217,40.6,17,9.82,26,9,3.39,4.29,68,26,3,1,0,0,0
789,298,16.1,212,0.711409396,46.3,11,6.58,20,9,2.6,2.91,69,24,3,0,0,0,0
