@relation jedit-5.1.0

@attribute Lines numeric
@attribute Statements numeric
@attribute '\% Branches' numeric
@attribute Calls numeric
@attribute Calls/Statements numeric
@attribute '\% Comments' numeric
@attribute Methods/Class numeric
@attribute 'Avg Stmts/Method' numeric
@attribute 'Max Complexity' numeric
@attribute 'Max Depth' numeric
@attribute 'Avg Depth' numeric
@attribute 'Avg Complexity' numeric
@attribute WMC numeric
@attribute NOF numeric
@attribute DIT numeric
@attribute NMO numeric
@attribute NOC numeric
@attribute Abstract numeric
@attribute isImportant numeric

@data
8,5,0,1,0.2,0,1,1,1,2,0.8,1,1,1,1,0,0,0,0
35,18,22.2,7,0.388889,28.6,3,3.33,3,2,1.44,2.33,5,3,1,1,0,0,0
65,40,15,13,0.325,12.3,5,5.8,3,3,1.83,2.2,11,4,1,1,0,0,0
88,50,38,14,0.28,29.5,2,19,17,7,2.8,9,17,8,1,1,0,0,0
38,24,33.3,13,0.541667,0,3,6.33,5,3,1.83,3.67,9,0,1,1,0,0,0
42,28,32.1,11,0.392857,0,2,10.5,10,5,2.68,5.5,7,3,1,0,0,0,0
22,4,0,0,0,72.7,2,0,0,1,0.5,0,0,0,0,0,0,0,0
85,59,44.1,24,0.40678,4.7,5,10.2,8,6,3.1,4.6,21,1,1,1,0,0,0
351,133,26.3,41,0.308271,39.3,14,7.5,25,6,2.47,3.71,43,10,0,0,1,0,0
123,64,21.9,24,0.375,26,8,5.75,6,4,1.92,2.75,19,8,1,1,0,0,0
58,32,21.9,19,0.59375,24.1,4,6.25,11,4,2.09,3.5,10,0,1,0,0,0,0
17,10,0,5,0.5,5.9,2,3,1,2,1.4,1,2,0,1,1,0,0,0
74,38,39.5,14,0.368421,28.4,4,8,14,5,2.18,4.75,13,0,1,1,0,0,0
238,114,39.5,58,0.508772,23.9,6,16.83,16,5,2.73,8.67,40,7,1,0,0,0,0
7,7,0,1,0.142857,0,2,1,1,2,1,1,2,1,1,0,0,0,0
16,12,16.7,5,0.416667,0,2,3.5,3,2,1.42,2,3,1,1,1,0,0,0
26,17,23.5,6,0.352941,0,4,2.5,3,2,1.47,2,6,1,1,0,0,0,0
16,10,10,4,0.4,0,2,3,2,3,1.6,1.5,3,0,1,1,0,0,0
13,10,10,3,0.3,7.7,2,2.5,2,2,1.3,1.5,3,1,1,1,0,0,0
93,42,33.3,16,0.380952,18.3,3,12.33,15,6,2.79,7,14,0,1,1,0,0,0
21,10,20,7,0.7,23.8,2,3,3,2,1.4,2,3,0,1,1,0,0,0
17,9,11.1,5,0.555556,17.6,2,2.5,2,2,1.33,1.5,3,0,1,1,0,0,0
132,73,23.3,27,0.369863,30.3,2,34,25,6,2.99,13,17,0,1,0,0,0,0
162,92,30.4,25,0.271739,31.5,9,8.44,13,5,2.18,4.33,30,4,1,0,0,0,0
62,35,11.4,17,0.485714,9.7,6,4.33,4,5,2.29,1.67,10,1,1,0,0,0,0
84,58,31,30,0.517241,4.8,5,9.8,12,4,2.21,5.4,20,2,1,0,0,0,0
52,18,22.2,7,0.388889,50,3,4,6,3,1.83,2.67,6,1,1,1,0,0,0
52,32,43.8,8,0.25,11.5,2,13.5,13,6,3,7,11,1,1,1,0,0,0
98,48,8.3,24,0.5,39.8,13,2.31,3,2,1.56,1.31,16,1,0,0,0,0,0
92,34,17.6,12,0.352941,45.7,3,3.67,5,4,1.91,2.17,11,2,0,0,0,0,0
46,16,12.5,6,0.375,28.3,1,7,3,4,1.69,3,3,1,0,0,1,1,0
269,124,16.1,72,0.580645,17.8,5,10.2,9,6,2.55,3.4,22,0,1,3,0,0,0
952,504,22.6,279,0.553571,29.8,17,12.91,18,7,2.45,4.62,126,19,0,0,0,0,0
15,9,0,1,0.111111,6.7,3,1,1,2,1.11,1,3,1,0,0,0,0,0
133,52,23.1,20,0.384615,52.6,7,5.71,9,4,1.96,3,19,1,1,0,1,0,0
729,404,19.8,240,0.594059,28,8.38,5.34,48,7,2.72,3.72,115,14,0,0,0,0,0
450,199,24.6,108,0.542714,46.2,22,7.05,24,5,2.11,3.23,68,8,1,14,0,0,0
4,3,0,0,0,0,1,0,0,1,0.33,0,0,0,0,0,0,0,0
49,23,8.7,8,0.347826,26.5,2.5,2.2,3,3,1.52,1.4,4,1,2,0,0,0,0
4,4,0,1,0.25,0,1,1,1,2,0.75,1,1,0,2,0,0,0,0
76,19,15.8,7,0.368421,63.2,4,2.5,4,2,1.32,1.75,7,1,0,0,0,0,0
37,20,20,5,0.25,16.2,4,2.5,4,2,1.2,2.25,6,0,1,4,0,0,0
145,62,17.7,26,0.419355,36.6,6,3,5,5,2.21,1.82,10,1,0,0,1,0,0
58,34,26.5,6,0.176471,27.6,4,6.25,7,4,1.94,3.25,10,4,1,0,0,0,0
80,58,13.8,40,0.689655,10,3,15.67,12,4,2.36,4.67,13,1,0,0,0,0,0
16,9,0,0,0,43.8,6,0,0,1,0.67,0,0,0,0,0,0,0,0
64,32,9.4,4,0.125,26.6,5,3.8,3,3,1.66,1.6,8,6,1,0,0,0,0
115,65,26.2,17,0.261538,25.2,12,4,5,4,1.85,2.42,24,3,1,0,2,0,0
204,65,12.3,32,0.492308,49,15,3.07,5,4,1.83,1.53,21,1,1,9,0,0,0
1045,441,23.6,249,0.564626,43.6,59,6.19,33,6,2.63,2.9,153,20,0,0,0,0,0
11,4,0,1,0.25,27.3,1,1,1,2,0.75,1,1,0,1,0,0,0,0
464,305,32.5,69,0.22623,4.1,31,8.97,33,7,3.03,4,95,17,0,0,0,0,0
103,63,9.5,33,0.52381,23.3,12,3.67,4,4,1.97,1.5,17,5,0,0,0,0,0
180,204,4.4,106,0.519608,15.6,86,1.31,7,4,1.61,1.1,95,0,1,1,0,0,0
210,103,24.3,40,0.38835,26.2,9,9.11,16,5,2.34,3.78,37,13,0,0,0,0,0
77,50,30,22,0.44,16.9,7,5.43,11,4,2.02,2.71,18,4,0,0,0,0,0
867,344,32.6,195,0.56686,41.6,19,16.42,45,5,2.55,8.32,127,9,0,0,0,0,0
29,6,0,0,0,69,1.5,0,1,2,0.83,1,0,0,0,0,0,0,0
1449,533,26.3,265,0.497186,47.3,37.5,5.67,17,6,2.18,3.08,201,21,0,0,2,0,0
39,9,0,0,0,71.8,7,0,0,1,0.78,0,0,0,1,0,0,0,0
229,114,15.8,18,0.157895,37.1,11,9,13,4,2.17,2.82,27,2,0,0,0,0,0
90,7,0,0,0,76.7,5,0,0,1,0.71,0,0,0,0,0,0,0,0
770,295,15.6,158,0.535593,49.5,22,9.82,12,5,2.12,3.32,70,52,0,0,0,0,0
224,19,0,0,0,88.8,17,0,0,1,0.89,0,0,0,0,0,0,0,0
1617,735,34.4,225,0.306122,42.1,31,21.58,68,9,3.56,9.06,238,30,0,0,0,0,0
240,181,0,0,0,89.2,0,0,0,1,0.99,0,0,179,0,0,0,0,0
26,6,0,0,0,73.1,0,0,0,1,0.67,0,0,4,0,0,0,0,0
192,78,34.6,10,0.128205,49,8,7.13,12,5,2.46,2.75,21,11,0,0,0,0,0
222,72,27.8,11,0.152778,53.6,4,14,12,6,2.79,6.5,19,10,0,0,0,0,0
566,276,44.2,70,0.253623,46.8,23,9.83,19,6,2.97,4.48,98,24,0,0,0,0,0
242,114,35.1,27,0.236842,38.4,11,8.64,15,6,2.94,3.73,37,6,2,5,0,0,0
5454,5014,39.6,1932,0.385321,2.6,175.5,14.08,21,9,2.66,8.56,2026,13,0,0,0,0,0
269,133,0,0,0,0,0,0,0,1,0.98,0,0,131,0,0,0,0,0
2099,1751,63.3,513,0.292975,0,50,33.48,253,9,4.25,15.3,720,25,0,0,0,0,0
82,41,0,0,0,0,0,0,0,1,0.95,0,0,39,0,0,0,0,0
901,327,12.5,333,1.018349,21.4,8.5,16.71,13,4,2.6,3.19,251,4,0,0,0,0,0
822,354,25.7,203,0.573446,30.9,40,7.8,11,5,2.3,3.6,130,0,0,0,0,0,0
28,10,20,1,0.1,53.6,1,5,3,3,1.3,3,2,0,1,1,0,0,0
6,6,0,2,0.333333,0,2,1,1,2,1,1,2,0,1,0,0,0,0
47,16,12.5,6,0.375,44.7,2,4.5,3,4,1.94,2,4,1,0,0,1,1,0
159,95,13.7,64,0.673684,22.6,6,14.17,5,3,2.33,3.17,18,0,0,0,0,0,0
15,9,0,0,0,26.7,1,3,1,2,1.11,1,1,3,0,0,0,0,0
164,73,16.4,21,0.287671,37.2,10.5,2.1,6,5,1.88,1.67,29,7,0,0,37,0,0
76,44,18.2,27,0.613636,26.3,5,7.2,5,5,2.16,2.8,15,0,0,0,0,0,0
107,43,11.6,18,0.418605,32.7,10,2.7,3,3,1.65,1.5,14,2,2,1,0,0,0
266,77,27.3,39,0.506494,55.6,11,5.64,14,3,2.04,3.45,31,2,0,0,2,0,0
78,13,23.1,1,0.076923,76.9,2,2,2,4,1.46,1.5,2,8,0,0,0,0,0
119,56,42.9,25,0.446429,39.5,6,7.17,15,6,3.41,3.33,18,5,1,0,0,0,0
427,144,45.1,58,0.402778,46.8,11,11.45,41,5,2.6,10,70,10,0,0,0,0,0
49,15,20,5,0.333333,57.1,4,2.25,4,2,1.47,1.75,6,0,1,0,3,0,0
32,14,14.3,5,0.357143,37.5,3,2.67,3,2,1.43,1.67,4,1,2,1,0,0,0
96,50,10,11,0.22,26,12,2.42,7,3,1.58,1.67,18,8,0,0,0,0,0
141,59,18.6,34,0.576271,44.7,3,7.33,8,4,2.47,3.17,7,2,1,3,0,0,0
1955,849,23.3,528,0.621908,33.5,13.83,9.11,99,8,3.21,5.04,248,39,1,4,0,0,1
109,10,0,0,0,84.4,8,0,1,1,0.8,1,8,0,0,0,1,1,0
120,10,0,0,0,86.7,8,0,0,1,0.8,0,0,0,0,0,0,0,0
82,45,24.4,16,0.355556,9.8,8,3.88,9,4,1.71,2.5,16,4,0,0,0,0,0
46,6,0,0,0,82.6,4,0,0,1,0.67,0,0,0,0,0,0,0,0
200,90,16.7,38,0.422222,33,14,4.93,4,3,1.98,2.07,26,4,0,0,0,0,0
43,11,0,5,0.454545,55.8,3,1,1,2,0.91,1,3,1,0,0,0,0,0
32,7,0,1,0.142857,59.4,2,1,1,2,0.86,1,2,0,1,1,0,0,0
70,35,37.1,3,0.085714,30,2,15,10,7,4.17,5.5,9,0,1,1,0,0,0
119,26,7.7,6,0.230769,64.7,8,1.38,3,2,1.27,1.25,9,2,0,0,3,1,0
24,4,0,0,0,75,2,0,0,1,0.5,0,0,0,0,0,0,0,0
106,48,31.3,12,0.25,37.7,4,9.75,5,5,2.42,4,16,0,1,2,0,0,0
2637,1089,20.1,581,0.533517,35.6,43.33,6.88,19,8,2.59,3.05,324,27,0,0,1,0,0
219,103,25.2,24,0.23301,27.9,17,4.53,6,4,2.11,2.59,39,4,0,0,1,0,0
315,169,30.8,37,0.218935,26,17,8.06,19,6,2.88,4.29,57,9,0,0,0,0,0
172,77,16.9,30,0.38961,37.2,5,3.27,4,4,2.18,1.93,9,3,0,0,0,0,0
600,300,21,97,0.323333,28.5,5.43,6.11,11,5,2.62,3.03,53,11,0,0,0,0,0
404,229,14.8,143,0.624454,15.8,6,9.78,9,6,2.62,2.89,35,4,0,0,0,0,0
91,43,16.3,22,0.511628,23.1,3,11,6,4,2.65,3.33,10,0,3,0,0,0,0
91,46,13,28,0.608696,23.1,1,18.5,7,5,2.45,4,7,0,3,0,0,0,0
391,190,22.1,67,0.352632,29.4,5,14.8,30,7,2.83,5.4,43,12,2,1,4,1,0
344,167,22.2,105,0.628743,18.6,7,21,24,7,3.18,7,40,0,3,0,0,0,0
207,96,21.9,65,0.677083,26.1,4,20.75,19,6,3.01,6.75,24,0,3,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0
114,57,10.5,29,0.508772,27.2,3,13.33,6,5,2.67,3,8,7,1,0,0,0,0
320,150,22.7,77,0.513333,30.3,4.75,5.89,13,6,2.25,2.95,45,5,0,0,0,0,0
21,7,0,0,0,19,4,0,1,1,0.57,1,4,0,0,0,0,0,0
38,8,0,0,0,73.7,4,0,0,1,0.5,0,0,0,1,0,0,0,0
378,164,23.8,91,0.554878,29.6,3.29,5.87,8,7,2.83,2.61,45,1,0,0,0,0,0
11,5,0,2,0.4,36.4,0,0,0,1,0.4,0,0,2,0,0,0,0,0
30,15,0,1,0.066667,13.3,4,1.25,1,2,1.07,1,4,2,0,0,0,0,0
33,19,5.3,8,0.421053,12.1,4,2,2,2,1.16,1.25,5,2,0,0,0,0,0
12,6,0,0,0,33.3,2,0,0,1,0.33,0,0,0,0,0,0,0,0
70,40,17.5,19,0.475,20,4,5,8,4,1.65,3,11,3,0,0,0,0,0
18,8,0,4,0.5,22.2,2,1,1,2,0.75,1,2,0,0,0,0,0,0
34,20,5,4,0.2,11.8,4,1.75,2,2,1.05,1.25,5,3,0,0,0,0,0
18,8,0,1,0.125,22.2,2,1,1,2,0.75,1,2,0,0,0,0,0,0
48,28,14.3,10,0.357143,8.3,4,3.25,4,5,1.5,2,8,2,0,0,0,0,0
134,35,5.7,5,0.142857,68.7,1,10,4,4,1.46,4,3,22,0,0,0,0,0
36,3,0,0,0,86.1,1,0,0,1,0.33,0,0,0,0,0,0,0,0
71,15,0,4,0.266667,66.2,5,1.4,1,2,1.33,1,5,1,0,0,15,1,1
35,11,9.1,2,0.181818,51.4,2,2.5,2,2,1.18,1.5,3,1,1,0,0,1,0
177,41,7.3,10,0.243902,63.3,6,1.58,3,4,1.63,1.25,11,0,1,0,6,1,0
405,129,21.7,66,0.511628,43.5,4,5.25,12,8,2.94,2.81,19,1,0,0,0,0,0
1155,541,23.5,400,0.739372,28.2,4.89,10,31,6,2.38,4.14,138,9,1,0,0,0,1
779,110,14.5,45,0.409091,77.3,8.33,2.88,5,5,1.98,1.76,35,1,0,0,3,1,0
322,136,18.4,77,0.566176,32,4,14,14,7,2.82,4.13,29,5,1,0,0,0,0
183,133,27.1,69,0.518797,11.5,8,14.63,12,6,2.93,3.75,24,3,1,0,0,0,0
276,173,11,123,0.710983,7.2,3.5,9.57,7,5,2.7,2.64,3,0,1,0,0,0,0
287,163,11.7,131,0.803681,20.2,2.4,10.25,13,5,2.55,2.58,13,10,2,2,2,1,0
474,249,22.9,175,0.702811,11.8,2,9.09,28,8,3.29,4.05,27,7,1,0,0,0,0
94,71,9.9,65,0.915493,2.1,1,18,7,5,2.17,4,2,5,1,0,0,0,0
101,46,4.3,9,0.195652,38.6,5,2.4,2,3,1.54,1.2,11,6,1,0,0,0,0
23,10,0,2,0.2,30.4,2,1,1,2,0.6,1,2,0,3,0,0,0,0
83,55,3.6,39,0.709091,25.3,2,8.5,3,3,1.53,1.5,3,5,2,2,0,0,0
96,51,9.8,26,0.509804,10.4,1.75,5.14,3,5,2.36,2,3,3,1,0,0,0,0
86,47,42.6,19,0.404255,0,10,3.5,4,4,2.32,2.3,19,1,1,0,0,0,0
210,138,13,111,0.804348,11.4,2.67,13.13,13,5,2.57,3.25,8,9,2,2,0,0,0
92,45,11.1,25,0.555556,21.7,2.67,3.25,4,4,1.98,1.63,4,0,1,0,0,0,0
415,229,20.1,123,0.537118,13.7,5.5,7.86,15,7,2.41,3.45,48,5,2,2,0,0,0
453,201,24.4,115,0.572139,28.7,3.38,5.15,22,7,2.75,3.13,28,4,1,0,1,0,0
188,132,10.6,96,0.727273,11.2,3,15.33,5,4,1.7,3.33,15,8,2,2,0,0,0
18,3,0,0,0,72.2,1,0,0,1,0.33,0,0,0,0,0,0,0,0
210,81,33.3,34,0.419753,36.2,8,8.38,24,6,2.98,4.13,29,0,2,3,0,0,0
385,158,12,95,0.601266,13.2,13,10,11,3,2.07,2.77,33,15,0,0,0,0,0
263,136,29.4,77,0.566176,19.8,6,8.75,13,5,2.71,4.67,13,3,1,0,0,0,0
17,3,0,0,0,76.5,1,0,0,1,0.33,0,0,0,0,0,0,0,0
16,7,0,0,0,43.8,5,0,0,1,0.71,0,0,0,0,0,0,0,0
500,247,12.1,115,0.465587,24.6,6,4.31,6,5,2.58,1.94,20,2,0,0,0,0,0
695,302,15.6,165,0.546358,41,9.8,3.86,35,5,2.07,2.89,63,17,1,0,1,1,0
921,506,20.9,296,0.58498,19.7,4.4,9.16,17,7,2.63,3.82,100,11,2,17,0,0,0
21,9,0,2,0.222222,23.8,2,1,1,2,0.67,1,2,0,0,0,0,0,0
19,7,0,0,0,52.6,2,0,0,1,0.29,0,0,0,0,0,0,0,0
256,166,19.3,74,0.445783,2,10,5.75,8,4,1.83,2.8,50,9,0,0,0,0,0
25,6,0,1,0.166667,76,0,0,0,1,0.17,0,0,0,0,0,0,1,0
131,81,9.9,61,0.753086,18.3,2.67,7.13,5,5,1.9,2.13,10,6,1,0,0,0,0
81,39,17.9,23,0.589744,18.5,2.5,5,6,4,2.26,2.6,4,1,2,0,0,0,0
147,81,19.8,47,0.580247,9.5,2.75,5.27,14,7,3.1,2.55,5,2,1,0,19,1,0
182,111,10.8,90,0.810811,14.8,2.25,9.11,5,5,2.16,2.33,7,2,2,2,0,0,0
1152,454,30,186,0.409692,30.8,10.5,19.76,57,9,3.78,8.43,132,4,0,0,0,0,0
431,85,14.1,16,0.188235,64.3,19,2.79,6,3,1.73,2,38,10,0,0,0,0,0
294,193,11.4,179,0.927461,13.3,6,12.33,8,4,1.87,3,27,9,2,2,0,0,0
356,212,21.7,166,0.783019,9.6,2.75,16.09,17,5,2.48,5.09,35,9,2,2,0,0,0
228,106,17.9,43,0.40566,38.2,8.5,4.65,9,7,2.4,2.53,30,5,1,0,1,1,0
255,103,15.5,44,0.427184,43.1,20,3.45,6,5,1.81,1.9,35,5,1,0,0,1,0
172,101,8.9,60,0.594059,19.2,3.67,5.82,5,6,1.72,2,14,5,1,0,0,0,0
125,62,24.2,26,0.419355,27.2,4,5.13,6,4,2.16,2.13,12,1,1,0,0,0,0
306,186,10.2,139,0.747312,14.1,3.5,10.57,7,4,2.03,2.43,20,12,2,2,0,0,0
466,229,22.3,133,0.580786,23.6,3.8,9.53,16,6,2.54,4.16,30,10,1,0,0,0,0
241,85,12.9,26,0.305882,50.2,20,2.65,10,3,1.65,1.8,33,8,1,0,0,0,0
12,5,0,0,0,41.7,1,0,0,1,0.4,0,0,0,0,0,0,0,0
311,154,20.8,88,0.571429,26.7,5.5,5.41,7,5,2.2,2.55,42,6,0,0,0,0,0
166,83,37.3,45,0.542169,31.3,9,6.89,18,6,3.04,3.44,26,1,1,0,0,0,0
349,147,24.5,82,0.557823,40.7,6,4.46,18,6,2.78,2.22,36,3,1,0,3,0,0
432,199,34.2,109,0.547739,26.9,14,12.29,21,7,2.84,5.93,68,1,1,2,1,1,0
204,97,10.3,56,0.57732,28.9,4.25,3.71,4,4,1.96,1.65,17,1,1,0,0,0,0
178,89,20.2,66,0.741573,14,2,23.5,9,6,2.51,8.5,20,3,0,0,0,0,0
517,227,37.9,87,0.38326,25.1,8.5,10.88,36,7,2.9,5.82,66,8,0,0,0,0,0
360,225,84.4,15,0.066667,21.7,6,34.67,47,9,3.56,9.67,168,4,0,0,0,0,0
108,64,26.6,34,0.53125,10.2,2,12.75,15,7,3.63,8.75,7,0,0,0,0,0,0
496,287,10.1,252,0.878049,10.7,2.31,7.4,11,7,3.01,2.2,15,12,1,0,0,0,0
244,142,12.7,135,0.950704,15.2,3.5,7.71,5,5,2.13,2.64,23,5,1,0,0,0,0
10,4,0,0,0,40,2,0,0,1,0.5,0,0,0,1,0,0,0,0
33,15,13.3,7,0.466667,15.2,3,2.33,5,4,1.4,2.33,5,1,1,0,0,0,0
608,308,21.1,193,0.626623,13.3,10.67,8.63,63,7,3.32,4.56,53,9,2,2,2,1,0
818,461,17.4,260,0.563991,18.2,5.57,8.77,12,6,2.58,3.38,46,15,0,0,0,0,0
255,150,14.7,117,0.78,17.3,2.6,9.08,9,6,2.33,2.85,15,6,2,2,0,0,0
117,79,7.6,55,0.696203,4.3,1.5,9.17,6,5,1.84,2.5,6,5,2,2,0,0,0
381,220,9.1,110,0.5,12.3,5.83,4.17,11,7,2.37,1.6,20,10,1,0,0,0,0
381,213,15.5,159,0.746479,15.2,2.3,7.09,10,5,2.49,2.65,22,7,1,0,0,0,0
119,49,6.1,24,0.489796,41.2,4.5,3.11,3,3,1.65,1.33,9,2,1,0,6,0,0
136,100,6,79,0.79,12.5,5,16.4,7,3,1.8,2.6,10,5,2,1,0,0,0
107,29,3.4,10,0.344828,62.6,6,2.17,2,3,1.28,1.17,7,3,1,0,0,0,0
163,97,8.2,71,0.731959,16,7,10,4,4,1.85,2.14,15,14,1,0,0,0,0
440,258,15.5,174,0.674419,20.7,4.4,8.91,15,6,2.44,3.18,44,23,1,0,0,0,0
120,65,16.9,35,0.538462,18.3,2.25,4.89,6,8,3.36,2.56,1,0,0,0,0,0,0
111,52,0,26,0.5,27,4.33,1.62,1,3,1.77,1,1,0,0,0,0,0,0
58,32,6.3,12,0.375,17.2,2,2.33,2,5,1.82,1.5,1,0,0,0,0,0,0
278,157,8.9,106,0.675159,14.7,2.63,4.95,6,7,2.81,1.67,1,0,0,0,0,0,0
59,32,6.3,12,0.375,18.6,2,2.33,2,5,1.82,1.5,1,0,0,0,0,0,0
76,45,6.7,19,0.422222,10.5,2,4,4,5,2.13,1.5,1,0,0,0,0,0,0
121,60,10,29,0.483333,16.5,3,3.89,5,5,2.49,1.78,1,0,0,0,0,0,0
80,46,6.5,27,0.586957,22.5,2,4,4,5,1.87,1.5,1,0,0,0,0,0,0
189,106,0.9,63,0.59434,17.5,3.25,4.54,2,5,2.13,1.08,1,0,0,0,0,0,0
58,32,6.3,12,0.375,17.2,2,2.33,2,5,1.82,1.5,1,0,0,0,0,0,0
81,45,8.9,23,0.511111,14.8,2,4.33,4,5,2.35,1.83,1,0,0,0,0,0,0
86,47,8.5,23,0.489362,20.9,2,4.33,4,5,2.25,1.83,1,0,0,0,0,0,0
83,47,8.5,23,0.489362,14.5,2,4.33,4,5,2.25,1.83,1,0,0,0,0,0,0
115,67,10.4,29,0.432836,12.2,3,4.56,5,5,2.84,1.89,1,0,0,0,0,0,0
19,4,0,0,0,68.4,1,0,0,1,0.25,0,0,0,0,0,0,0,0
110,48,6.3,25,0.520833,10.9,4.67,1.79,3,6,2.18,1.29,1,0,0,0,0,0,0
16,7,0,2,0.285714,31.3,1,1,1,2,0.43,1,1,0,1,0,0,0,0
21,6,0,0,0,61.9,3,0,0,1,0.5,0,0,0,0,0,0,0,0
94,54,9.3,37,0.685185,12.8,2.33,4.57,7,5,2.22,2,1,0,0,0,0,0,0
185,131,6.9,104,0.793893,11.9,8,11,7,3,1.53,2.38,21,9,2,2,0,0,0
256,135,4.4,80,0.592593,22.7,2.89,4,6,7,2.82,1.54,10,3,1,0,0,0,0
93,51,0,52,1.019608,22.6,4,4.38,1,3,1.59,1,7,0,2,2,1,0,0
119,80,7.5,73,0.9125,16,2.5,12,6,4,1.79,2.6,7,5,2,2,0,0,0
85,44,15.9,16,0.363636,24.7,3,4.17,4,4,1.86,2.17,11,4,0,0,0,0,0
156,95,18.9,56,0.589474,14.1,2.33,8.43,13,6,2.39,3.71,5,3,3,1,0,0,0
17,6,0,2,0.333333,41.2,1,1,1,2,0.67,1,1,0,2,0,1,1,0
100,52,11.5,17,0.326923,17,2.33,3.71,6,4,1.9,1.86,7,4,1,0,1,0,0
82,45,17.8,16,0.355556,15.9,3,10,8,5,2.38,4,11,4,0,0,0,0,0
585,251,30.3,76,0.302789,24.3,10.5,9.86,36,9,4.09,6.71,88,16,0,0,0,0,0
2024,791,19.3,521,0.65866,38.5,4.94,7.57,16,6,2.42,3.07,187,6,0,0,0,0,0
201,68,2.9,74,1.088235,24.4,3,20,3,3,1.84,2,28,3,0,0,0,0,0
